"","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_identity_verified","neighbourhood_group_cleansed","room_type","accommodates","bathrooms","bedrooms","beds","square_feet","price","cleaning_fee","minimum_nights","number_of_reviews_ltm","review_scores_rating","review_scores_cleanliness","review_scores_location","review_scores_value","Post_20_reviews"
"91",100,100,"t",2,"t","Manhattan","Entire home/apt",4,1,0,4,657.770212765957,199,150,2,37,97,10,10,10,"0"
"92",100,25,"f",1,"f","Brooklyn","Private room",2,1,1,1,657.770212765957,72,75.4034656056957,30,1,91,9,10,9,"0"
"93",89.3037155669443,100,"f",1,"f","Brooklyn","Private room",2,1,1,1,657.770212765957,69,25,5,2,88,9,9,9,"0"
"94",100,63,"t",2,"t","Brooklyn","Entire home/apt",4,2,2,2,657.770212765957,243,80,30,2,99,10,9,10,"0"
"95",100,85,"f",3,"f","Queens","Private room",2,1,1,1,657.770212765957,90,75.4034656056957,1,66,90,9,9,9,"1"
"96",100,96,"t",10,"t","Queens","Private room",3,1,1,2,657.770212765957,45,10,1,108,98,10,10,10,"1"
"98",89.3037155669443,81.0127222784444,"f",1,"f","Manhattan","Entire home/apt",4,2,2,2,657.770212765957,250,100,30,0,96,10,10,10,"0"
"99",100,80,"f",2,"t","Queens","Private room",2,1,1,2,657.770212765957,85,80,1,0,93.293492250014,9.29721864681851,9.5729318258144,9.2965015393227,"0"
"100",100,53,"f",2,"t","Brooklyn","Private room",1,1,1,1,657.770212765957,50,50,2,3,100,10,10,10,"1"
"101",89.3037155669443,100,"f",1,"t","Manhattan","Entire home/apt",3,1,1,1,657.770212765957,220,85,2,26,97,10,9,9,"1"
"102",89.3037155669443,50,"f",1,"t","Brooklyn","Private room",2,1,1,1,657.770212765957,175,50,2,0,90,10,10,9,"0"
"103",89.3037155669443,80,"f",3,"t","Manhattan","Private room",1,1,1,1,657.770212765957,91,45,4,1,91,8,10,9,"0"
"104",89.3037155669443,0,"f",3,"t","Brooklyn","Private room",1,1,1,1,657.770212765957,50,75.4034656056957,28,0,100,10,10,10,"0"
"105",73,10,"f",1,"t","Brooklyn","Entire home/apt",2,1,1,1,657.770212765957,129,40,3,0,91,9,9,9,"0"
"106",100,98,"t",2,"t","Brooklyn","Entire home/apt",3,1,1,2,657.770212765957,143,50,3,38,94,9,10,9,"1"
"107",89.3037155669443,0,"f",0,"f","Brooklyn","Private room",2,1,1,2,657.770212765957,78,25,3,0,88,8,9,9,"0"
"108",89.3037155669443,0,"f",1,"t","Queens","Private room",2,1,1,1,657.770212765957,90,80,1,0,93,10,10,9,"0"
"109",89.3037155669443,81.0127222784444,"f",5,"f","Manhattan","Private room",4,0.5,1,2,657.770212765957,199,75.4034656056957,1,1,100,10,10,10,"0"
"110",89.3037155669443,100,"f",1,"t","Manhattan","Entire home/apt",2,1,0,0,657.770212765957,150,100,60,0,100,9,10,10,"0"
"111",89.3037155669443,100,"f",1,"f","Queens","Private room",2,1,1,1,657.770212765957,60,25,2,6,95,10,10,10,"0"
"112",0,100,"f",1,"t","Queens","Private room",2,1,1,1,657.770212765957,85,20,2,3,93,9,10,9,"0"
"113",100,96,"f",1,"f","Queens","Entire home/apt",2,1,1,2,657.770212765957,60,25,1,27,96,10,9,10,"0"
"114",100,99,"f",7,"t","Queens","Private room",1,1,1,1,657.770212765957,45,0,5,1,96,9,9,10,"0"
"115",67,79,"t",4,"t","Brooklyn","Private room",1,1,1,1,657.770212765957,47,15,5,23,93,9,10,10,"0"
"116",100,94,"t",9,"t","Brooklyn","Entire home/apt",2,1,1,1,657.770212765957,165,50,28,19,94,10,10,9,"1"
"117",88,82,"f",2,"t","Brooklyn","Private room",1,1,1,1,657.770212765957,33,80,5,1,91,8,9,9,"0"
"119",0,0,"f",4,"f","Brooklyn","Entire home/apt",3,1,0,1,657.770212765957,105,45,5,0,80,10,10,10,"0"
"120",89.3037155669443,0,"f",1,"f","Brooklyn","Private room",1,1,1,1,657.770212765957,40,10,25,0,100,8,10,8,"0"
"121",89.3037155669443,40,"f",1,"t","Brooklyn","Private room",1,1,1,0,100,73,100,2,2,100,10,10,10,"0"
"122",84,76,"f",89,"t","Manhattan","Entire home/apt",3,1,0,1,657.770212765957,120,0,30,1,84,9,9,7,"0"
"123",100,86,"f",15,"t","Manhattan","Entire home/apt",5,1,2,4,657.770212765957,285,120,5,18,96,9,10,9,"0"
"124",100,100,"t",1,"t","Brooklyn","Entire home/apt",6,1,3,3,657.770212765957,255,150,3,25,98,10,10,10,"0"
"125",80,54,"f",2,"t","Brooklyn","Entire home/apt",11,2,5,8,657.770212765957,300,200,30,8,99,10,9,10,"1"
"126",100,92,"t",1,"t","Queens","Private room",3,1,1,2,657.770212765957,75,50,3,16,98,10,10,10,"0"
"127",100,96,"t",1,"f","Brooklyn","Entire home/apt",6,1,2,4,657.770212765957,295,100,3,40,100,10,10,10,"0"
"128",100,100,"f",1,"f","Staten Island","Entire home/apt",8,1,4,4,657.770212765957,299,150,2,12,99,10,10,10,"0"
"129",89.3037155669443,100,"t",1,"t","Queens","Entire home/apt",5,1,3,4,657.770212765957,245,75,4,34,96,10,10,10,"0"
"130",89.3037155669443,46,"t",1,"t","Manhattan","Private room",3,1,2,2,657.770212765957,275,85,1,2,98,10,10,10,"0"
"131",100,80,"t",1,"t","Queens","Private room",1,1,1,0,657.770212765957,69,150,5,2,92,9,9,9,"0"
"133",89.3037155669443,40,"f",2,"t","Bronx","Private room",2,1,1,1,657.770212765957,85,75.4034656056957,2,3,98,10,9,10,"0"
"134",100,93,"t",7,"t","Brooklyn","Shared room",2,1,1,0,657.770212765957,99,50,1,3,88,9,10,9,"0"
