"","id","host_id","host_since","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_identity_verified","neighbourhood_group_cleansed","latitude","longitude","is_location_exact","room_type","accommodates","bathrooms","bedrooms","beds","square_feet","price","cleaning_fee","minimum_nights","number_of_reviews","number_of_reviews_ltm","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","cancellation_policy","reviews_per_month","Pre_20_reviews","Post_20_reviews","ForRent"
"58",830949,4352069,2012-12-07,NA,50,"t",2,2,"t","Manhattan",40.72632,-73.97907,"t","Private room",2,1,1,1,NA,79,70,2,154,20,98,10,10,10,10,10,10,"strict_14_with_grace_period",1.92,1,0,"f"
"59",846871,3179895,2012-08-06,NA,100,"t",1,1,"t","Manhattan",40.78429,-73.97815,"t","Private room",2,1,1,1,NA,131,NA,2,245,28,95,10,10,10,10,10,10,"moderate",2.77,4,0,"f"
"60",850097,4438960,2012-12-18,NA,75,"f",1,1,"f","Manhattan",40.73118,-74.0029,"t","Entire home/apt",3,1,1,1,NA,235,100,2,101,4,97,10,10,10,10,10,10,"strict_14_with_grace_period",1.31,1,0,"f"
"61",868874,2886652,2012-07-10,NA,96,"t",1,1,"t","Brooklyn",40.67957,-73.96253,"t","Entire home/apt",7,2,3,5,NA,325,75,29,18,2,98,10,10,10,10,9,9,"strict_14_with_grace_period",0.21,1,0,"f"
"62",912376,4103952,2012-11-09,NA,100,"f",1,1,"t","Brooklyn",40.69901,-73.93967,"t","Private room",2,NA,1,1,NA,51,50,10,6,2,77,9,8,8,9,9,8,"moderate",0.08,1,0,"f"
"63",921624,4955560,2013-02-03,NA,50,"f",1,1,"t","Brooklyn",40.71579,-73.9588,"t","Entire home/apt",4,2,3,4,1200,250,140,7,26,4,94,10,9,10,10,10,10,"strict_14_with_grace_period",0.3,1,0,"f"
"64",929032,2420592,2012-05-20,NA,86,"f",1,1,"t","Brooklyn",40.70163,-73.98208,"t","Private room",2,1,1,0,NA,60,NA,3,21,9,93,9,9,9,9,9,9,"flexible",0.68,2,0,"f"
"65",944049,1908073,2012-03-12,NA,95,"t",1,1,"t","Manhattan",40.73194,-74.00189,"t","Entire home/apt",2,1,1,1,NA,200,70,4,69,29,95,10,9,10,10,10,9,"strict_14_with_grace_period",0.78,5,0,"f"
"66",958444,5214644,2013-02-24,100,100,"f",1,1,"f","Bronx",40.85235,-73.78873,"t","Entire home/apt",2,1,1,1,NA,100,50,3,71,4,97,10,10,10,10,10,10,"strict_14_with_grace_period",0.84,3,0,"f"
"67",993040,5454862,2013-03-14,70,94,"f",1,1,"t","Manhattan",40.8278,-73.94891,"t","Private room",2,1,1,1,NA,150,0,1,208,24,88,9,9,10,10,10,9,"strict_14_with_grace_period",2.41,5,3,"f"
"68",1021491,5622682,2013-03-25,NA,40,"f",1,1,"f","Brooklyn",40.66974,-73.958,"t","Entire home/apt",2,1.5,1,1,NA,85,40,3,15,5,89,10,7,10,10,10,10,"strict_14_with_grace_period",0.65,1,0,"f"
"69",1072212,5897760,2013-04-12,NA,92,"f",1,1,"t","Manhattan",40.825,-73.94132,"f","Private room",2,1,1,1,140,50,35,5,149,4,94,10,10,10,10,9,9,"strict_14_with_grace_period",1.75,1,0,"f"
"70",1147524,244071,2010-09-24,NA,100,"f",1,1,"t","Queens",40.77755,-73.90599,"t","Entire home/apt",6,2,3,4,1800,175,100,5,4,2,100,10,9,10,10,10,10,"strict_14_with_grace_period",0.05,1,0,"f"
"71",1150341,4185151,2012-11-18,100,70,"t",3,3,"t","Manhattan",40.83084,-73.94892,"t","Private room",1,1.5,1,0,NA,55,25,30,4,2,100,10,10,10,10,8,9,"moderate",0.06,1,1,"f"
"72",1167269,210899,2010-08-23,100,100,"f",1,1,"t","Brooklyn",40.72806,-73.95593,"t","Private room",2,1,1,1,NA,97,25,2,21,7,99,10,10,10,10,10,10,"strict_14_with_grace_period",0.26,1,0,"f"
"73",1231273,5894425,2013-04-12,NA,100,"t",1,1,"t","Manhattan",40.76168,-73.9949,"t","Entire home/apt",3,1,1,2,NA,200,75,2,60,8,98,10,10,10,10,10,10,"strict_14_with_grace_period",0.71,2,1,"f"
"74",1232433,6721198,2013-06-03,100,100,"f",0,0,"f","Manhattan",40.78104,-73.94916,"t","Entire home/apt",4,1,1,1,NA,95,30,28,223,34,85,9,8,9,9,10,8,"strict_14_with_grace_period",2.62,1,0,"f"
"75",1241905,2873394,2012-07-08,NA,100,"t",2,2,"t","Brooklyn",40.69822,-73.93517,"t","Private room",1,1,1,1,NA,66,20,3,27,16,99,10,9,10,10,10,10,"moderate",0.32,1,0,"f"
"76",1245479,3363749,2012-08-24,100,100,"t",3,3,"t","Brooklyn",40.70762,-73.94256,"t","Private room",2,1,1,1,NA,97,0,5,163,18,100,10,10,10,10,10,10,"moderate",1.98,5,0,"f"
"77",1294973,7041410,2013-06-21,NA,94,"t",1,1,"t","Manhattan",40.79475,-73.976,"t","Private room",2,1,1,1,NA,140,50,5,116,28,100,10,10,10,10,10,10,"moderate",1.5,6,1,"f"
"78",1353085,7344758,2013-07-08,NA,62,"f",1,1,"t","Manhattan",40.73316,-74.0041,"t","Entire home/apt",2,1,0,0,NA,175,NA,4,16,13,100,10,10,10,10,10,10,"flexible",0.52,2,0,"f"
"79",1354250,1631330,2012-01-20,NA,100,"f",1,1,"f","Brooklyn",40.68842,-73.97781,"t","Entire home/apt",3,1,1,1,NA,80,NA,15,3,1,100,10,9,10,10,9,10,"strict_14_with_grace_period",0.04,1,0,"f"
"80",1357021,1411399,2011-11-16,100,96,"f",7,7,"t","Manhattan",40.75639,-73.96558,"t","Entire home/apt",4,1,1,2,NA,219,85,1,97,22,87,9,9,9,9,10,9,"moderate",1.18,1,0,"f"
"81",1426529,7672728,2013-07-23,100,100,"f",1,1,"t","Manhattan",40.72418,-73.98283,"t","Private room",2,1,1,1,NA,70,30,3,203,31,93,10,10,10,10,10,9,"moderate",2.44,6,0,"f"
"82",1439028,7729335,2013-07-25,NA,60,"f",0,0,"t","Queens",40.748,-73.94979,"f","Private room",2,1,1,2,NA,55,30,3,3,1,50,9,6,8,7,9,8,"moderate",0.07,1,0,"f"
"83",1456142,683794,2011-06-09,NA,80,"f",1,1,"t","Manhattan",40.73458,-74.00492,"t","Entire home/apt",2,1,1,1,NA,220,50,2,17,4,99,10,10,10,10,10,10,"moderate",0.25,2,0,"f"
"84",1457505,7815949,2013-07-30,83,66,"t",4,4,"f","Brooklyn",40.67265,-73.9247,"t","Entire home/apt",3,1,1,1,NA,85,65,14,74,7,92,10,10,10,10,9,9,"moderate",0.92,3,0,"f"
